22	483
115.0	26.0	0
403.0	26.0	0
425.0	26.0	0
115.0	50.0	0
161.0	50.0	0
183.0	50.0	0
205.0	50.0	0
227.0	50.0	0
249.0	50.0	0
271.0	50.0	0
293.0	50.0	0
378.0	50.0	0
401.0	50.0	0
427.0	50.0	0
11.0	46.0	36
161.0	26.0	38
186.0	26.0	38
211.0	26.0	38
236.0	26.0	38
261.0	26.0	38
286.0	26.0	38
311.0	26.0	40
11
98.0	768.0	12
123.0	768.0	24
148.0	768.0	30
173.0	765.0	27
198.0	765.0	28
223.0	768.0	14
273.0	768.0	12
298.0	765.0	21
323.0	768.0	14
348.0	768.0	10
373.0	765.0	27
11
48.0	864.0	34
73.0	864.0	24
98.0	864.0	30
148.0	864.0	16
173.0	864.0	24
198.0	861.0	29
248.0	864.0	10
298.0	864.0	12
323.0	864.0	10
348.0	861.0	27
377.0	864.0	13
452.0	840.0





