[SCENE_INFO]
# world_id
1

[MAP]
# file_path
Resources\map\world_map.txt


[TILESET]
1	Resources\map\tileset_worldmap.png	255	255	255	8	4

[STATIC_OBJECTS]
# loai	x	y	w	h	ani_set	state	type_obj
# state: cactus = 1, help_tag = 2, guard = 3
# cactus
5	48	48	48	48	24	1	1
5	96	48	48	48	24	1	1
5	144	48	48	48	24	1	1

5	624	48	48	48	24	1	1
5	672	48	48	48	24	1	1


5	48	96	48	48	24	1	1
5	96	96	48	48	24	1	1
5	144	96	48	48	24	1	1

5	240	96	48	48	24	1	1
5	288	96	48	48	24	1	1
5	336	96	48	48	24	1	1

5	432	96	48	48	24	1	1
5	480	96	48	48	24	1	1
5	528	96	48	48	24	1	1

5	624	96	48	48	24	1	1
5	672	96	48	48	24	1	1


5	240	144	48	48	24	1	1
5	288	144	48	48	24	1	1
5	336	144	48	48	24	1	1

5	624	144	48	48	24	1	1
5	672	144	48	48	24	1	1


5	48	192	48	48	24	1	1
5	96	192	48	48	24	1	1
5	144	192	48	48	24	1	1

5	240	192	48	48	24	1	1
5	288	192	48	48	24	1	1
5	336	192	48	48	24	1	1

5	432	192	48	48	24	1	1
5	480	192	48	48	24	1	1
5	528	192	48	48	24	1	1
5	576	192	48	48	24	1	1
5	624	192	48	48	24	1	1
5	672	192	48	48	24	1	1


5	48	240	48	48	24	1	1
5	96	240	48	48	24	1	1
5	144	240	48	48	24	1	1

5	432	240	48	48	24	1	1
5	480	240	48	48	24	1	1

5	672	240	48	48	24	1	1


5	48	288	48	48	24	1	1

5	288	288	48	48	24	1	1
5	336	288	48	48	24	1	1
5	384	288	48	48	24	1	1

5	672	288	48	48	24	1	1

5	672	288	48	48	24	1	1
5	672	336	48	48	24	1	1
5	672	384	48	48	24	1	1

# help tag
5	624	288	48	48	24	2	1

# guard
5	250	432	48	48	24	3	1








